id,roleId,brandName,yn
4863,1123,北欧欧慕,1
4864,1123,北欧欧慕（nathome）,1
4978,1429,东森,1
4979,1429,家能,1
4997,1442,品味.尚尼,1
5003,1443,好伴侣,1
5004,1444,莱尚,1
5013,1446,红富士,1
5014,1430,美珑美利,1
5030,1447,金得宝,1
5040,1450,华康,1
5049,1452,怀贝,1
5050,1452,远梦,1
5064,1455,玛克,1
5069,103,爱屋格林,1
5075,1463,汉妮威,1
5076,1464,鸿雁,1
5079,491,佛山照明,1
5080,491,金羚,1
5081,491,三立,1
5084,1482,木兰居,1
5085,1483,舒馨佳,1
5086,1484,彩阳,1
5089,1480,南珠宫,1
5090,1485,TCL,1
5091,1485,乐华,1
5141,1465,7000年,1
5142,1465,7000年和田玉,1
5146,1358,宠贝乐,1
5147,1358,好主人,1
5148,1358,凯倍,1
5149,1488,朦朦兔,1
5150,1488,三利,1
5151,1488,爽颜,1
5152,1488,羽合,1
5153,1467,佐卡伊,1
5160,1490,MerrySleep,1
5189,1469,锦和珠宝,1
5190,1491,双猫,1
5191,1491,双猫1,1
5192,1491,香榭里,1
5194,1492,艾薇,1
5195,1492,瑜嘉丽,1
5196,1471,lux-girl,1
5197,1471,lux-man,1
5198,1471,Lux-women,1
5199,1471,Natio,1
5200,1471,龙之昱,1
5201,1471,纳克斯,1
5202,1471,纳克斯珠宝,1
5204,1472,蓝色多瑙河,1
5206,1474,oohDear,1
5207,1474,恒信,1
5208,1474,恒信-ohhdear,1
5209,1475,芭法娜,1
5210,1477,卓凡,1
5211,1478,1000S,1
5212,1479,黛贝林珠宝,1
5213,1479,买啦珠宝,1
5216,1476,翠润福缘,1
5217,1476,切,1
5218,1476,润海阁,1
5219,1476,赛金,1
5220,1493,纯恋,1
5221,1493,海伯瑞,1
5244,1494,诺伊曼,1
5245,1494,泰普诺,1
5249,1470,卓思华,1
5250,1497,成家,1
5251,1497,老外婆,1
5252,1498,大渡河,1
5277,1501,真彩,1
5295,1503,阿娃提,1
5296,1503,全利,1
5297,1503,丝路传奇,1
5298,1503,天山果源,1
5299,1503,味正品,1
5368,1324,皇家,1
5369,1326,AngyChain/安琪圈圈,1
5375,1512,皇佳,1
5383,1335,优贝卡,1
5384,1337,FURpuccino,1
5385,1337,MIDWEST,1
5386,1337,Super,1
5387,1337,多格漫,1
5388,1337,飞宝,1
5389,1337,福莱希,1
5390,1337,富美内特,1
5391,1337,哈根,1
5392,1337,海巍,1
5393,1337,金赏,1
5394,1337,伊纳宝,1
5395,1337,伊奈宝,1
5396,1338,贝亭,1
5397,1339,伯曼,1
5407,1344,珍爱多,1
5408,1344,珍宝,1
5412,1346,派宠,1
5413,1347,favorite,1
5414,1347,百万宝贝,1
5415,1347,宠之福,1
5416,1347,中恒,1
5428,1349,宾狗,1
5429,1350,金曼,1
5430,1350,路斯,1
5431,1353,可优特,1
5432,1354,多纳,1
5451,1333,正利,1
5452,1334,NEO CAT,1
5470,1340,安贝,1
5471,1340,安诺,1
5472,1340,灵贝,1
5473,1341,福摩Fromm,1
5490,1351,BIS,1
5491,1351,安第斯,1
5492,1351,风神,1
5493,1351,绿十字,1
5494,1351,蜜贵人,1
5495,1351,亲宝舒,1
5496,1351,鲨鱼,1
5497,1351,神宝,1
5498,1351,悠润,1
5508,1514,圣诗雅/STShiYa,1
5512,1248,Northland诺诗兰,1
5513,1248,诺诗兰,1
5515,1518, 维多利亚十字勋章,1
5516,1518,(Cozyhome)蔻姿,1
5517,1518,driftwood,1
5518,1518,步行者,1
5519,1518,惠多,1
5520,1518,极地,1
5521,1518,漂流木,1
5522,1518,青慕,1
5523,1518,青苇,1
5524,1518,圣丽奴,1
5525,1518,盈百利,1
5526,1518,昱州,1
5534,1520,亚明,1
5535,1521,傲乐斯,1
5542,1526,和墨红,1
5543,1526,良心土地,1
5544,1527,广御园,1
5545,1527,皇冠世家,1
5546,1527,俏家园,1
5547,1527,素一斋,1
5548,1529,优迪家居,1
5555,1530,飞跃,1
5556,1531,格丽油画,1
5557,1532,魅族,1
5560,1533,宝缦,1
5561,1533,玛瑞吉,1
5571,1534,长城,1
5572,1534,丰谷,1
5573,1534,郎酒,1
5574,1534,泸州老窖,1
5575,1534,茅台,1
5576,1534,茅台集团,1
5577,1534,茅台镇,1
5578,1534,五粮神,1
5579,1534,五粮液,1
5583,1537,百年顺香,1
5584,1537,稻香村,1
5585,1537,华美,1
5586,1537,老三东,1
5587,1537,品佳品,1
5588,1537,齐味园,1
5589,1537,乾润,1
5590,1537,天山派,1
5591,1537,维之王,1
5592,1537,喜相逢,1
5593,1537,鲜品屋,1
5594,1537,香港美心,1
5595,1537,香港奇华,1
5596,1537,阳湖岛,1
5606,1540,博通,1
5607,1540,盼盼,1
5608,1540,幸福农场,1
5609,1540,真心,1
5688,1546,阿明,1
5689,1547,北陆,1
5690,1547,长字牌,1
5691,1547,川口,1
5692,1547,川中牌,1
5693,1547,春日井,1
5694,1547,东亚,1
5695,1547,富路达,1
5696,1547,富士屋,1
5697,1547,理本,1
5698,1547,内掘牌,1
5699,1547,千朋,1
5700,1547,浅利佐助牌,1
5701,1547,三立,1
5702,1547,山元牌,1
5703,1547,扇雀饴,1
5704,1547,天六,1
5705,1547,丸川,1
5706,1547,五木,1
5707,1547,岩佐,1
5708,1547,羽印,1
5709,1547,元臻,1
5732,1550,东宝,1
5733,1551,巴布洛,1
5734,1551,金花牌,1
5735,1552, 瑞斯美,1
5736,1552,Anna sui,1
5737,1552,ARMANI,1
