id,providerName,providerErpId,providerCode,createTime,updateTime,yn,OWN_SIGN,providerAccount,STS,DRES,GODS
176,天津市海燕电线电缆制造有限公司,4602,tjhydx,2011-12-06 19:58:51.700,2011-12-06 19:58:51.700,1,BASE,tjhydx,B,N,N
177,海蒂诗五金配件（上海）有限公司,7315,hdswjpj,2011-12-06 20:00:08.037,2011-12-06 20:00:08.037,1,BASE,hdswjpj,B,N,N
178,北京远东美居建材有限公司,8017,bjydmj,2011-12-06 20:01:32.890,2011-12-06 20:01:32.890,1,BASE,bjydmj,B,N,N
179,宁波欧琳厨具有限公司北京营销分公司,5576,nbolcj,2011-12-06 20:02:53.420,2011-12-06 20:02:53.420,1,BASE,nbolcj,B,N,N
180,北京嘉华信诚建材有限公司,4419,bjjhxc,2011-12-06 20:04:22.343,2011-12-06 20:04:22.343,1,BASE,bjjhxc,B,N,N
181,深圳创维-RGB电子有限公司,2510,szchuangw,2011-12-06 20:06:54.397,2011-12-06 20:06:54.397,1,BASE,szchuangw,B,B,B
182,青岛海信电器股份有限公司,2948,qdhxdqgf,2011-12-06 20:11:26.830,2011-12-06 20:11:26.830,1,BASE,qdhxdqgf,B,B,B
183,山东画报出版社有限公司,4655,bk0052,2011-12-07 14:36:05.410,2011-12-07 14:36:05.410,1,BASE,bk0052,B,B,B
184,北京工业大学出版社有限责任公司,4659,bk0054,2011-12-08 11:06:21.597,2011-12-08 11:06:21.597,1,BASE,bk0054,B,B,B
185,江苏广陵书社有限公司,4662,bk0056,2011-12-08 11:16:03.313,2011-12-08 11:16:03.313,1,BASE,bk0056,B,B,B
186,福建人民出版社有限责任公司,4663,bk0057,2011-12-08 11:16:58.850,2011-12-08 11:16:58.850,1,BASE,bk0057,B,B,B
187,青豆书坊（北京）图书有限公司,4668,bk0060,2011-12-08 11:18:25.993,2011-12-08 11:18:25.993,1,BASE,bk0060,B,B,B
188,陕西太白文艺出版社有限责任公司,4669,bk0061,2011-12-08 11:19:09.433,2011-12-08 11:19:09.433,1,BASE,bk0061,B,B,B
189,中国工人出版社,4670,bk0062,2011-12-08 11:19:32.677,2011-12-08 11:19:32.677,1,BASE,bk0062,B,B,B
190,吉林文史出版社图书发行部,4706,bk0063,2011-12-08 11:21:00.333,2011-12-08 11:21:00.333,1,BASE,bk0063,B,B,B
191,河北大学出版社有限责任公司,4671,bk0064,2011-12-08 11:21:28.913,2011-12-08 11:21:28.913,1,BASE,bk0064,B,B,B
192,四川巴蜀书社有限公司,4672,bk0065,2011-12-08 11:21:56.207,2011-12-08 11:21:56.207,1,BASE,bk0065,B,B,B
193,北京中图弘晔文化传媒有限公司,4673,bk0066,2011-12-08 11:22:18.417,2011-12-08 11:22:18.417,1,BASE,bk0066,B,B,B
194,北京书中缘图书有限公司,4676,bk0068,2011-12-08 11:22:40.940,2011-12-08 11:22:40.940,1,BASE,bk0068,B,B,B
195,北京乐知信达图书有限公司,4677,bk0069,2011-12-08 11:23:01.260,2011-12-08 11:23:01.260,1,BASE,bk0069,B,B,B
